2024-06-04,921,Конфеты,77,8626
2024-01-17,873,Консервы,24,8282
2024-06-19,652,Сыр,12,7354
2024-08-03,744,Яблоки,73,2559
2024-05-11,960,Сыр,9,9893
2024-01-19,193,Сыр,9,3606
2024-01-24,742,Кефир,49,2763
2024-02-22,559,Конфеты,25,9586
2024-06-07,134,Хлеб,94,7091
2024-05-11,572,Молоко,36,8338
2024-07-20,803,Колбаса,90,3361
2024-07-24,631,Консервы,98,4672
2024-01-25,344,Консервы,67,8535
2024-04-06,94,Консервы,92,9114
2024-06-06,79,Сыр,84,5899
2024-02-18,188,Кефир,6,6075
2024-07-16,924,Кефир,100,3383
2024-02-03,415,Хлеб,56,2959
2024-01-12,339,Конфеты,60,2139
2024-02-18,209,Консервы,72,404
2024-03-31,760,Колбаса,85,6069
2024-07-10,819,Конфеты,20,1246
2024-01-02,852,Сыр,41,8014
2024-08-05,193,Яблоки,25,4830
2024-07-17,567,Молоко,63,737
2024-06-01,811,Консервы,63,4881
2024-04-26,728,Молоко,85,2365
2024-06-24,265,Колбаса,39,9152
2024-04-14,467,Сыр,28,2770
2024-07-30,935,Колбаса,96,9508
2024-02-25,758,Молоко,48,672
2024-06-18,467,Хлеб,56,3913
2024-08-05,966,Яблоки,21,7663
2024-04-29,84,Консервы,48,3290
2024-01-02,931,Конфеты,2,7951
2024-05-14,99,Колбаса,15,4780
2024-01-07,391,Яблоки,58,7020
2024-06-07,854,Сыр,19,5690
2024-07-06,272,Колбаса,82,607
2024-01-29,764,Колбаса,34,4307
2024-05-04,91,Консервы,45,8200
2024-05-05,741,Сыр,28,6328
2024-04-21,493,Молоко,25,8316
2024-06-02,322,Хлеб,62,1590
2024-07-25,540,Колбаса,41,9657
2024-07-31,797,Сыр,83,5892
2024-04-19,382,Колбаса,38,1193
2024-08-06,999,Молоко,6,7514
2024-07-18,332,Сыр,4,6357
2024-04-18,350,Кефир,76,758
2024-05-27,623,Кефир,98,305
2024-04-09,774,Сыр,80,8630
2024-03-12,208,Конфеты,28,8958
2024-04-13,745,Молоко,68,2026
2024-04-09,669,Хлеб,70,2035
2024-07-09,375,Яблоки,97,6937
2024-03-14,215,Сыр,83,6663
2024-07-14,126,Сыр,3,3378
2024-06-23,688,Колбаса,41,875
2024-04-11,823,Консервы,23,5912
2024-04-20,806,Яблоки,50,4803
2024-04-08,661,Колбаса,6,9965
2024-03-03,596,Кефир,71,7213
2024-02-29,563,Хлеб,89,591
2024-02-25,345,Сыр,90,9912
2024-07-06,76,Кефир,71,2774
2024-07-10,678,Молоко,27,999
2024-01-30,796,Конфеты,40,8682
2024-01-30,33,Конфеты,16,6052
2024-03-19,425,Кефир,60,5767
2024-05-08,50,Консервы,92,3318
2024-04-12,981,Хлеб,68,4499
2024-04-13,382,Молоко,90,1378
2024-02-05,910,Хлеб,13,5137
2024-04-10,627,Сыр,27,6595
2024-01-05,34,Консервы,92,8084
2024-01-27,666,Кефир,19,6039
2024-04-28,639,Консервы,72,9026
2024-02-20,339,Конфеты,81,1807
2024-05-11,832,Консервы,12,8377
2024-06-14,327,Кефир,23,7181
2024-04-23,771,Молоко,20,2454
2024-03-04,336,Кефир,27,8697
2024-08-01,314,Хлеб,61,8450
2024-03-22,199,Кефир,38,3557
2024-03-31,481,Хлеб,35,6679
2024-03-12,24,Конфеты,42,6584
2024-06-26,331,Молоко,35,2550
2024-07-14,433,Яблоки,5,5909
2024-08-06,272,Кефир,70,648
2024-08-03,228,Молоко,26,2982
2024-04-04,704,Кефир,92,5162
2024-04-28,247,Кефир,71,9113
2024-07-10,5,Хлеб,60,3186
2024-06-04,364,Кефир,42,4854
2024-07-27,944,Молоко,85,4115
2024-03-11,727,Молоко,70,7239
2024-03-26,761,Кефир,94,7689
2024-03-24,954,Яблоки,70,6726
2024-05-05,984,Кефир,31,6482
2024-03-19,445,Конфеты,70,5096
2024-03-02,234,Консервы,20,7542
2024-06-05,16,Консервы,2,1625
2024-03-11,467,Яблоки,46,1956
2024-07-18,922,Консервы,31,8963
2024-02-19,697,Яблоки,89,8659
2024-02-22,825,Кефир,79,6241
2024-06-06,726,Колбаса,66,2513
2024-03-17,886,Консервы,14,8781
2024-07-06,903,Яблоки,67,264
2024-07-20,72,Колбаса,63,9492
2024-01-07,450,Колбаса,19,2420
2024-03-02,717,Конфеты,67,3910
2024-01-25,291,Консервы,35,2604
2024-05-11,116,Колбаса,88,3174
2024-07-06,869,Колбаса,65,6259
2024-06-18,329,Кефир,30,8342
2024-03-28,482,Сыр,33,6225
2024-05-03,354,Кефир,45,4149
2024-01-02,762,Колбаса,21,4476
2024-06-23,91,Конфеты,14,7878
2024-03-05,482,Яблоки,8,514
2024-03-31,907,Конфеты,93,3338
2024-07-24,201,Консервы,72,3063
2024-04-03,648,Кефир,49,6572
2024-07-31,621,Хлеб,23,2702
2024-03-25,501,Сыр,41,4229
2024-03-17,545,Сыр,90,158
2024-01-08,199,Яблоки,76,3644
2024-07-07,520,Конфеты,94,2725
2024-06-18,943,Консервы,70,9109
2024-04-23,325,Яблоки,18,6683
2024-01-15,490,Консервы,65,4495
2024-04-14,60,Хлеб,79,5905
2024-05-08,355,Яблоки,68,5728
2024-04-05,262,Молоко,62,2760
2024-01-02,20,Кефир,83,2116
2024-02-11,94,Хлеб,23,7141
2024-01-13,998,Хлеб,65,8148
2024-05-14,120,Сыр,52,7026
2024-05-17,941,Хлеб,58,347
2024-07-21,521,Хлеб,10,1153
2024-06-15,718,Конфеты,5,8228
2024-03-28,940,Конфеты,28,7717
2024-04-20,414,Консервы,61,2971
2024-03-02,103,Кефир,65,8262
2024-01-08,952,Сыр,86,398
2024-04-11,877,Консервы,79,2956
2024-06-29,594,Колбаса,14,6704
2024-02-01,177,Яблоки,10,6451
2024-01-27,20,Яблоки,50,6832
2024-07-22,481,Кефир,54,8236
